source,target
"消耗当前拥有的所有雷之印，向前方大范围区域连续斩击，造成物理伤害。每消耗1个雷之印可使伤害增加25%。斩击期间自身免疫所有伤害。

攻略：搭配居合斩流派的核心技能，尽量在目标数量有3个以上，并且雷之印达上限时施放，最大化伤害。","所持する全ての雷印を消費し、広範囲に連斬を放って物理ダメージを与える。雷印1消費ごとにダメージ+25%。斬撃中は全てのダメージを無効化する。

コツ：雷刃抜刀型の核心スキル。3体以上の敵と対峙し、雷印が上限のときに撃ってダメージを最大化する。"
镰车,旋廻鎌
"使武器瞬间转化至镰刀形态，挥舞镰刀对周围敌人进行多段攻击，持续造成物理伤害并击退目标，末段攻击对敌方目标施加50%重伤，持续10秒。
施放时立即召唤月刃协助自己战斗。

月刃：持续旋转35秒，每2秒对目标造成物理伤害。当施放月影时，场上月刃立即进行一次回旋攻击对周围目标造成物理伤害。自身死亡时，月刃会立刻结束，同时返还镰车剩余冷却时间。

攻略：搭配月刃召唤流派的核心技能，尽量在月刃结束时施放，最大化每个月刃的伤害。","武器を鎌へ変化させ、振るって周囲の敵に多段攻撃を行い、物理ダメージを与えて吹き飛ばす。最終段は対象に50%の重傷を10秒付与する。
発動時に月刃を召喚して戦闘を補助させる。

月刃：35秒間回転し、2秒ごとに対象へ物理ダメージを与える。月影殺を撃つと、場の全ての月刃が回旋攻撃を放ち、周囲の敵に物理ダメージを与える。自身が死亡すると月刃は即座に終了し、旋廻鎌の残りCDが返還される。

コツ：雷刃抜刀型の核心スキル。各月刃が消える直前に撃ってダメージを最大化する。"
"施展防御架势，期间免疫所有伤害。若受到伤害则会快速斩击前方并向后跳跃。再次施放技能会向前方闪身挥砍，造成物理伤害。若攻击到目标，则获得雷之印至上限。

攻略：在高压环境下，或者自己比较熟悉的战斗中使用技能，可获得更高的雷之印获取效率。","防御の構えに入り、全てのダメージを無効化する。構え中に攻撃を受けると斬撃で反撃して後方へ跳ぶ。再発動で前方へ突進斬りを行い、物理ダメージを与える。命中すると雷印を最大まで得る。

コツ：激しい戦闘や、タイミングに自信があるときに撃つと雷印を効率よく得られる。"
我流秘刀法·壹之型·改,我流秘刀法・壱の型・改
"幻影镰车
迅雷之势快速接近目标后原地生成「幻影镰车」，持续造成雷元素伤害，持续3秒，每0.5秒攻击一次

大神攻略：当输出环境不稳定时，该技能可以更有效的输出。","幻影旋廻鎌 / 迅雷の勢いで対象に素早く接近し、その場に「幻影旋廻鎌」を生成。3秒間、0.5秒ごとに雷属性ダメージを与え続ける。

上級者向けコツ：敵の動きが読めず火力環境が不安定なときに、より効果的に火力を出せる。"
我流秘刀法·贰之型·改,我流秘刀法・弐の型・改
"飞雷神
运用雷之力隐匿与空气之中，从空气中发动连续斩击，造成多段雷元素伤害

大神攻略：施放该技能期间长时间霸体，造成伤害的同时拥有大范围的伤害能力。","飛雷 / 雷の力で空気中に身を隠し、空中から連続斬撃を放って多段の雷属性ダメージを与える。

コツ：攻撃中は長時間スーパーアーマーを得るため、広範囲に持続火力を出すのに優れた選択肢となる。"
霹雳连斩,迅雷連斬
"快速的拔刀进行二连斩击，对敌人造成物理伤害，斩击消耗50刀意，每当攻击速度达到25%|50%|80%时每次斩击额外造成1|2|3次伤害。斩击结束时，如果还有剩余刀意则可继续施放。

攻略：搭配月刃召唤流派的核心技能，主要消耗刀意造成伤害的方式，尽量在刀意达上限时进行连续施放。","電光石火の居合を二連で放つ。刀意を50消費して敵に物理ダメージを与える。攻撃速度が25%|50%|80%に達するごとに1|2|3回の追加攻撃を行う。斬撃後に刀意が残っていれば再発動できる。

コツ：型の核心スキル。刀意を消費してダメージを与える。刀意が上限のときに撃つ。"
"快速的拔刀进行二连斩击，对敌人造成物理伤害，斩击消耗50刀意，每当攻击速度达到25%|50%|90%时每次斩击额外造成1|2|3次伤害。斩击结束时，如果还有剩余刀意则可继续施放。

攻略：搭配月刃召唤流派的核心技能，主要消耗刀意造成伤害的方式，尽量在刀意达上限时进行连续施放。","電光石火の居合を二連で放つ。刀意を50消費して敵に物理ダメージを与える。攻撃速度が25%|50%|90%に達するごとに1|2|3回の追加攻撃を行う。斬撃後に刀意が残っていれば再発動できる。

コツ：型の核心スキル。刀意を消費してダメージを与える。刀意が上限のときに撃つ。"
"极诣·大破灭连斩
极致的刀法将空气也能斩断，向面前区域持续斩击，对区域内的敌人造成物理伤害，并在招式结束后获得雷之印至上限，并回满刀意值。
「苍天之兵，使诸天繁星皆黯」

攻略：尽量在雷之印为空时施放，快速获得雷之印进入爆发。或在目标数量较多时使用，打出巨量范围伤害","奥義・破刃連斬 / 空気すら断つほどの至高の刀技。前方へ連斬を放ち、範囲内の全ての敵に物理ダメージを与える。技の終わりに雷印を最大まで得て、刀意を完全回復する。
「蒼天の兵、諸天の星々をも黯ませる。」

コツ：雷印が空のときに撃つと素早くチャージできる。複数対象にも有効で、大量の範囲ダメージを与えられる。"
无穷雷霆之力,無窮雷陣
"涂抹刀刃附加雷霆之力，期间所有获取雷之印的行为，将直接获取满额雷之印，且持续时间内物理攻击力提升同时霸体。

攻略：搭配超高出力和天赋效果在极短的时间内获得雷之印和消耗雷之印，爆发出惊人的伤害。","刃に雷霆の力を宿す。効果中、雷印を得る行動は全て雷印を即座に最大まで得る。さらに効果中は攻撃力が上昇し、スーパーアーマーを得る。

コツ：彼岸と天賦と組み合わせ、短時間で雷印を素早く獲得・消費し、莫大なダメージを放つのが最適。"
千雷闪影之意,千雷
"爆发体内狂暴的雷电，每1秒可积攒20点刀意。期间使用专精技能每次消耗刀意时，触发一次鸣雷打击对当前目标造成物理伤害。

攻略：搭配霹雳连斩可打出较多雷刺，高额的精通可使得月刃召唤流派的月刃伤害提升。","体内の荒れ狂う雷を解放し、毎秒20の刀意を生成する。この状態中、刀意を消費するマスタリースキルを使うたびに「鳴雷打撃」が発動し、現在の対象に物理ダメージを与える。

コツ：迅雷連斬と組み合わせるとより多くの雷撃を出せる。高い精通は月影殺型の月刃ダメージを大きく上げる。"
雷霆之镰,雷霆鎌
快速横劈一柄雷霆凝聚的镰刀，对敌人造成300%攻击力物理伤害，跟随霹雳连斩技能升级/进阶进行成长。,雷霆で凝縮した鎌で素早く横薙ぎし、敵に攻撃力300%分の物理ダメージを与える（迅雷連斬のレベル/段階に応じて成長）。
雷霆居合斩,轟雷刃抜刀
消耗当前拥有的所有雷之印，向前方快速劈出5道刀气，对沿途的敌人造成700%攻击力物理伤害，跟随特殊攻击技能升级/进阶进行成长。,所持する全ての雷印を消費し、前方へ5筋の刀気を素早く放ち、攻撃力700%分の物理ダメージを与える（特殊攻撃のレベル/段階に応じて成長）。
龙槌闪,重撃槌
强化后的一闪，消耗当前拥有的所有雷之印，以毁灭性的姿态发起斩击，对敌人造成510%攻击力物理伤害，跟随一闪技能升级/进阶进行成长，每消耗1个雷之印可使伤害增加25%。,強化された一閃。所持する全ての雷印を消費し、破壊的な構えで斬撃を放ち、敵に攻撃力510%分の物理ダメージを与える（一閃のレベル/段階に応じて成長）。雷印1消費ごとにダメージ+25%。
飞雷斩乱,カオシックサンダー
强化后的飞雷神，消耗当前拥有的所有雷之印，引动更狂暴的雷霆，对敌人造成450%攻击力物理伤害，跟随飞雷神技能升级/进阶进行成长，每消耗1个雷之印可使伤害增加25%。,強化された飛雷。所持する全ての雷印を消費し、より凶暴な雷霆を引き起こし、敵に攻撃力450%分の物理ダメージを与える（飛雷のレベル/段階に応じて成長）。雷印1消費ごとにダメージ+25%。
神罚之镰,審罰鎌
向前方奋力竖劈一柄缠绕毁灭之力的镰刀，对敌人造成1500%攻击力物理伤害，跟随普通攻击技能升级/进阶进行成长。,破壊の力を纏った鎌で前方へ力強く縦斬りし、敵に攻撃力1500%分の物理ダメージを与える（通常攻撃のレベル/段階に応じて成長）。
缭乱兜割,繚乱兜割
强化后的月影，向前方丢出毁灭性的雷霆旋风，对敌人造成500%攻击力物理伤害同时获得满额刀意，跟随月影技能升级/进阶进行成长。,強化された月影殺。前方へ破壊的な雷霆の旋風を放ち、敵に攻撃力500%分の物理ダメージを与えつつ刀意を満タンにする（月影殺のレベル/段階に応じて成長）。
霹雳连斩-最后一刀,霹靂連斬-最後の一刀
"快速的拔刀斩击，对敌人造成物理伤害，每次斩击消耗50刀意，每当攻击速度达到25%|50%|90%时斩击额外造成1|2|3次伤害。每一次斩击结束时，如果还有剩余刀意则可继续施放。

攻略：搭配月刃召唤流派的核心技能，主要消耗刀意造成伤害的方式，尽量在刀意达上限时进行连续施放。","電光石火の居合を放ち、敵に物理ダメージを与える。各斬撃は刀意を50消費。攻撃速度が25%|50%|90%に達するごとに1|2|3回の追加攻撃を行う。斬撃後に刀意が残っていれば即座に再発動できる。

コツ：月影殺型と連携する核心スキルで、主に刀意を消費してダメージを与える。刀意が上限に達したら連続で撃つ。"
雷电重炮,雷電重砲
涤光,浄光
"造成伤害时，有几率触发刻印：闪电链。
刻印：造成一次雷元素伤害，并传递给附近的单位，最多可传递4次。

大神攻略：当怪物距离集中时，尽可能快的攻击有奇效。","ダメージを与えた際、一定確率で刻印「ライトニングチェイン」を発動する。
刻印：周囲の敵に雷属性ダメージを1回与え、最大4回まで連鎖する。

上級者向けコツ：敵が密集しているときに素早く攻撃すると連鎖反応を起こしやすい。"
撑起一切吧！,全てを支えろ！
奥义！重锤狂袭,奥義！マッドハンマー
共鸣首领·姆克头目的力量，对周围进行砸地，对范围造成高额物理伤害，可充能2次。,首領・ムク頭目の力と共鳴。周囲の地面を叩き、範囲に高い物理ダメージを与える。2回チャージ可能。
冰魔导师,フロストメイジ
雨打潮生,レインフォール
"寒冰能量
施放特殊攻击和一些专精技能时的必备资源，初始上限50点，每1秒自然回复2点。

普通攻击·雨打潮生
进行至多四段的水形态攻击，每段造成魔法伤害。

攻略：当寒冰能量不足时，可灵活造成伤害。","氷エネルギー / 特殊攻撃や一部のマスタリースキルを発動するための必須リソース。初期上限50ポイントで、毎秒2ポイント回復する。

通常攻撃・レインフォール / 最大4段の水属性攻撃を行い、各段で魔法ダメージを与える。

コツ：氷エネルギーが少ないときに、状況に応じて柔軟にダメージを出せる。"
水之涡流,メイルストローム
"在目标脚下展开一个水旋涡，持续吸引一定范围内的敌人并造成魔法伤害，造成伤害时，每命中1个目标回复2点寒冰能量，每次命中最多回复10点寒冰能量。

极寒·水之旋涡
在极寒状态下，水旋涡在结束时会冻结并产生剧烈爆炸，对范围内的所有敌人造成一次更高魔法伤害。

攻略：搭配射线流在合适的时机施放可回复可观的寒冰能量。","目標の足元に水の渦を展開し、範囲内の敵に魔法ダメージを与え続ける。命中した敵1体ごとに氷エネルギーを2回復（1ヒットあたり最大10回復）。

極寒・水の渦 / 極寒状態では、渦が終了時に凍結して激しく爆発し、範囲内の全ての敵により高い魔法ダメージを与える。

コツ：フロストレイ型と相性が良く、適切なタイミングで撃てば多くの氷エネルギーを回復できる。"
清滝绕珠,ウォータースフィア
"向目标施放一个会缓慢移动的水球并立即获得1枚玄冰，之后每间隔3秒获得1枚玄冰，水球撞击到任意目标后速度下降。水球存在期间，持续对周围的所有敌人造成魔法伤害并施加寒霜。

极寒·清滝绕珠
在极寒状态下，水球在结束时会冻结并产生剧烈爆炸，对范围内的所有敌人造成一次更高魔法伤害。

技能可以充能2层。

攻略：在寒冰能量不溢出的情况下，常态保持这个技能至少有1层在进行充能。施放终极技能前尽量保持有2层充能，搭配终极技能提供的极寒状态可以造成更多伤害。","ゆっくり移動する水球を放ち、即座に玄氷を1枚獲得。その後3秒ごとに玄氷を1枚獲得する。着弾すると水球の速度が低下。水球が存在する間、周囲の全ての敵に魔法ダメージを与え続け、寒霜を付与する。

極寒・ウォータースフィア / 極寒状態では、水球が終了時に凍結して激しく爆発し、範囲内の全ての敵により高い魔法ダメージを与える。

このスキルは2チャージ持つ。

コツ：氷エネルギーが溢れない限り常に1チャージは確保しておく。アルティメット使用前は2チャージ確保し、極寒状態と組み合わせると追加ダメージを得られる。"
水旋涡-被动版,水渦・パッシブ版
幻影冲锋,幻影チャージ
陨星风暴,メテオストーム
"消耗5点寒冰能量，立即从目标上方召唤三颗陨星风暴，对目标及其周围造成魔法伤害。
技能可以充能2层。

攻略：这是一个无需吟唱的伤害技能，在频繁需要移动的战斗中尽可能多的施放可发挥较大作用。","氷エネルギーを5消費し、目標の上空に即座にメテオストームを3つ召喚。目標と周囲の敵に魔法ダメージを与える。
このスキルは2チャージ持つ。

コツ：詠唱不要のダメージスキル。頻繁に移動する戦闘で繰り返し使うと効果的。"
冻结寒风,フローズンストーム
"积蓄体内的寒意喷涌而出，对周围目标造成魔法伤害和冰冻效果。
蓄力会使技能范围和伤害产生变化。
1阶：吟唱1秒，前方8米半径扇形范围。
2阶：吟唱2秒，前方8米半径扇形范围，伤害提升50%。
3阶：吟唱3秒，自身周围8米半径圆形，伤害提升100%。
当前拥有1/3/5枚玄冰时，直接跳过1/2/3阶段进行施放。

攻略：这是一个伤害兼控制技能，尽可能在高玄冰时施放。","蓄積した冷気を一気に放出し、周囲の敵に魔法ダメージと凍結を与える。
チャージにより範囲とダメージが変化する。
1段階：1秒詠唱、前方8mの扇形範囲。
2段階：2秒詠唱、前方8mの扇形範囲、ダメージ+50%。
3段階：3秒詠唱、前方8mの扇形範囲、ダメージ+100%。
玄氷を1/3/5枚所持していると、詠唱を飛ばして1/2/3段階で即時発動する。

コツ：範囲ダメージと制御を兼ねたスキル。玄氷が多いときに撃つのが最適。"
寒冰射线,フロストレイ
"消耗15点寒冰能量，向目标方向发射一束凝聚寒冰能量的射线，每0.3秒对射线上的所有敌人造成一次魔法伤害。连续造成5次伤害后，尝试消耗更多寒冰能量维持射线。每12点寒冰能量可维持射线多存在0.3秒并多造成1次伤害。寒冰射线每造成一次伤害使得寒冰射线伤害+8%，最高不超过80%。（剩余寒冰能量不足3点时停止发射）
寒冰射线的发射间隔受到急速属性影响。

攻略：尽量在寒冰能量接近上限时使用，可以维持更长时间。发射期间可以使用摇杆轻微调整自身站位。","氷エネルギーを15消費し、目標方向に集約した氷のビームを放ち、0.3秒ごとに経路上の全ての敵に魔法ダメージを与える。5回ダメージを与えた後、追加の氷エネルギーを消費してビームを維持しようとする。氷エネルギー12ごとにビームを0.3秒延長し、追加で1回ダメージを与える。フロストレイはダメージを与えるたびに自身のダメージが+8%（最大+80%）。（氷エネルギーが3未満になると停止）
フロストレイの発射間隔はファストの影響を受ける。

コツ：氷エネルギーが上限近いときに撃つと長く維持できる。発射中はスティックで軽く位置を調整できる。"
冰霜之矛,フロストファング
"吟唱1.4秒，随后消耗10点寒冰能量，向目标发射一柄锋利的冰霜之矛，撞击到敌人后造成魔法伤害。
可消耗1枚玄冰免除吟唱过程并使伤害+20%。

攻略：尽可能多的施放冰霜之矛，避免能量溢出。","1.4秒詠唱後、氷エネルギーを10消費し、鋭いフロストファングを目標に放ち、着弾時に魔法ダメージを与える。
玄氷を1枚消費すると詠唱を省略でき、ダメージ+20%。

コツ：フロストファングをこまめに撃ち、エネルギーの無駄を防ぐ。"
冰之灌注,パーマフロスト
"召唤寒冰的力量，持续时间内获得霸体同时每秒积攒6点寒冰能量，并提高自身急速。

攻略：可以提升自己的攻击和施法速度，注意这个技能也会回复寒冰能量，不要在寒冰能量接近上限时施放，或者在接近上限时使用后快速消耗掉寒冰能量。","氷の力を呼び出し、効果中スーパーアーマーを得ながら毎秒6の氷エネルギーを蓄積し、ファストを上昇させる。

コツ：攻撃速度と詠唱速度が上がる。このスキルは氷エネルギーを生むため、上限間近では使わないこと。使った場合は直後に氷エネルギーを素早く消費する。"
寒冰风暴,ブリザード
"吟唱2.9秒，随后消耗20点寒冰能量，在目标处召唤剧烈的寒冰风暴，持续对范围内的所有敌人造成魔法伤害并施加寒霜。

攻略：威力强大的群体攻击技能，尽量固定敌方单位的位置，避免其离开攻击范围。","2.9秒詠唱後、氷エネルギーを20消費し、目標地点に激しいブリザードを召喚。範囲内の全ての敵に魔法ダメージを与え続け、寒霜を付与する。

コツ：強力な範囲攻撃スキル。動けない敵に当てるとダメージを最大化できる。"
寒冰庇护,アイスガード
"冻结自身，持续期间免疫所有伤害但不可移动。对周围的所有敌人造成魔法伤害，并对其持续施加减速直到被冰冻。

攻略：在高压环境下装配，提升存活能力。","自身を氷で包み、効果中は全てのダメージを無効化するが移動不可になる。周囲の全ての敵に魔法ダメージを与え、凍結するまで減速を付与する。

コツ：高圧的な状況で装備すると生存力が上がる。"
浪潮汇聚,タイドプール
"在目标处召唤奔腾的水龙卷，并对其造成魔法伤害。召唤后持续引导5秒。可再次施放提前结束。

极寒·浪潮汇聚
在极寒状态下，水龙卷在结束时会冻结并产生剧烈爆炸，对范围内的所有敌人造成一次更高魔法伤害。

攻略：引导期间不能移动、不能施放其他技能，一般在组队情况下，搭配其他队友的范围攻击时施放。","目標地点に奔流する水竜巻を召喚し、着弾時に魔法ダメージを与える。発動後5秒間チャネル。再発動で早期終了できる。

極寒・浪潮汇聚 / 極寒状態では、竜巻が終了時に凍結して激しく爆発し、範囲内の全ての敵により高い魔法ダメージを与える。

コツ：チャネル中は移動や他スキルの発動ができない。パーティで味方の範囲攻撃に合わせて撃つのが最適。"
极寒·冰雪颂歌,極光・グレイシアルアンセム
"召唤寒冰的庇佑，在自身脚下创造出寒冰领域，击飞范围内的所有敌方单位，随后召唤一颗彗星砸向目标，造成魔法伤害并且使目标冰冻。
寒冰领域
自身处于领域范围内持续回复220点寒冰能量，且会获得极寒状态。处于领域内的敌人持续被减速直到被冰冻。
极寒状态下视目标为冰冻状态。

攻略：不要在寒冰能量接近上限时施放，或者在接近上限时使用后快速消耗掉寒冰能量。会被极寒状态加成的技能在该技能范围内使用最佳。","氷の加護を呼び、足元に寒冰領域を展開して範囲内の全ての敵を吹き飛ばす。続けて彗星を召喚して目標に落とし、魔法ダメージと凍結を与える。
寒冰領域 / 領域内では氷エネルギーを合計220回復し、極寒状態を得る。領域内の敵は凍結するまで減速し続ける。
極寒状態では対象を凍結状態とみなす。

コツ：氷エネルギーが上限間近のときは使わない（使った場合は直後に消費する）。極寒状態で強化されるスキルはこのスキルの効果時間内に撃つと最も効果的。"
赤炎狂战士,ツインストライカー
炽热挥击,ブレイズスラッシュ
"普通攻击·炽热挥击
进行至多四段攻击，造成物理伤害，回复3点炎魂。

攻略：炎魂不够施展其他攻击手段时使用普通攻击填充攻击。","通常攻撃・ブレイズスラッシュ / 最大4段の攻撃を行い、物理ダメージを与え、炎魂を3回復する。

コツ：炎魂が足りず他の攻撃手段が使えないときは通常攻撃でつなぐ。"
炽烈升腾,熾烈なる昇天
"旋转身体挥舞战斧向前连续攻击目标，造成物理伤害，回复15点炎魂。

攻略：最基础的提升无相等级的技能，需要和其他的专精技能间隔使用。","戦斧を振り回しながら回転して前方の敵を連続攻撃し、物理ダメージを与え、炎魂を15回復する。

コツ：無相レベルを上げる最も基本的なスキル。他のマスタリースキルと交互に使う。"
狂热斩击,狂熱の斬撃
"短暂蓄力后向前踏步猛烈斩击目标，对敌人造成物理伤害，回复25点炎魂。若攻击命中目标，立即回复5%自身最大生命值。

攻略：在输出中间穿插可以有效提升存活能力，也可以在迷狂炎舞后使用，补充一些血量的消耗。","短くチャージした後に前進して対象を激しく斬りつけ、敵に物理ダメージを与え、炎魂を25回復する。命中すると即座に最大HPの5%を回復する。

コツ：火力の合間に挟むと生存力を効果的に高められる。迷いと狂い炎舞の後に使ってHPを補うこともできる。"
炽焰突袭,烈炎の突撃
"连续左右挥击战斧攻击目标造成物理伤害，回复10点炎魂。
技能可以充能2层。

攻略：充分利用好短CD的2层充能，和炽烈升腾组合可以快速的提升无相等级。","戦斧を左右に連続で振って対象を攻撃し、物理ダメージを与え、炎魂を10回復する。
このスキルは2チャージ持つ。

コツ：短いCDと2チャージを活かす。熾烈なる昇天と組み合わせると無相レベルを素早く上げられる。"
暴怒劈斩,激怒の斬撃
"施展高超技巧，连续使用暴风骤雨般的劈斩攻击目标造成物理伤害，消耗85点炎魂，每段攻击结束后2秒内允许继续释放，最多释放4段。

攻略：高额的消耗不适合用来提升无相等级，通常在无相达到最大后使用，作为主要的输出手段来使用。","卓越した技で、嵐のような連続斬撃を対象に浴びせ、物理ダメージを与えつつ炎魂を85消費する。直前の発動終了から2秒以内に再発動でき、最大4段まで。

コツ：消費が大きく無相上げには不向き。通常は無相が最大に達した後、主要な火力手段として使う。"
斧风,斧風
"像旋风一般挥舞手中的武器，对自身周围3米内的目标造成物理伤害，每次旋转消耗260点体力。技能释放期间再次点击可以结束技能。

攻略：需要合理的分配体力用于输出和生存的边界，在确认自身安全的前提下，可以更多用于输出和提升无相。","武器を旋風のように振り回し、自身の周囲3m内の対象に物理ダメージを与える。1回転ごとにスタミナを260消費。発動中に再度タップで終了できる。

コツ：火力と生存にスタミナを適切に配分する必要がある。安全が確認できれば、より多く火力と無相上げに回せる。"
迷狂炎舞,迷いと狂い炎舞
"施展超高速乱舞，每轮消耗50点炎魂或25%赤红魂槽或25%最大生命值对自身周围3米内的所有敌人造成物理伤害。
优先消耗炎魂，炎魂不足时转而消耗赤红魂槽，赤红魂槽不足时则转而消耗生命值，当前生命值低于50%时无法施展。技能释放期间再次点击可以结束技能。

攻略：赤红流的绝对核心技能，尽可能的积攒炎魂，赤红魂槽以维持释放，释放时需要观察局势以便随时打断保证生存","超高速の乱舞を放つ。1ラウンドごとに炎魂50、または赤紅魂ゲージの25%、または最大HPの25%を消費し、自身の周囲3m内の全ての敵に物理ダメージを与える。
炎魂→赤紅魂ゲージ→HPの順に優先消費。HPが50%未満では発動不可。発動中に再度タップで終了できる。

コツ：赤紅流の絶対的な核心スキル。できる限り炎魂と赤紅魂ゲージを蓄積して発動を維持する。発動中は局面を見て、生存のためいつでも中断できるようにする。"
无羁坠星,自由なる墜星
"释放你的力量向目标进行强力跳劈，对落点周围4米的敌人造成物理伤害。并在落地后产生赤红之地，赤红之地在5秒内对周围4米内的所有敌人造成额外物理伤害，回复15点炎魂。

攻略：起手接近目标和回复炎魂的手段，需要爆发时提前释放以便自身处于赤红之地内。","力を解放して対象へ強力な跳躍斬りを行い、着地点周囲4mの敵に物理ダメージを与える。着地時に「赤紅の地」を生成し、5秒かけて周囲4m内の全ての敵に追加の物理ダメージを与え、炎魂を15回復する。

コツ：対象への接近と炎魂回復の手段。爆発が必要なときは事前に撃って赤紅の地の内側に留まる。"
荒川之寂灭,濁流焚滅
"附加火焰之力，持续时间内使自身获得职业技能冷却加速、急速提高。

攻略：配合无相达到A或S时使用，保证爆发期最大化收益。","炎の力を宿し、効果中はクラススキルのCD加速とファスト上昇を得る。

コツ：無相がAまたはSに達したときに使い、爆発期の恩恵を最大化する。"
如川流华斩,川流のごとき斬撃
"消耗50点炎魂，奋力向前方挥出十字气刃斩，十字气刃会向前飞行一段时间，对途径的所有敌人造成物理伤害。对主目标造成的伤害100%转化为生命值。并在一段时间内使自身获得50%生命吸取。

攻略：配合快速积攒赤红魂槽，以及低血量时获得额外回复。","炎魂を50消費し、前方へ強力な十字状の気刃斬を放つ。気刃は一定時間前進し、経路上の全ての敵に物理ダメージを与える。主目標に与えたダメージの100%をHPに変換する。さらに一定時間50%のライフスティールを得る。

コツ：赤紅魂ゲージの素早い蓄積と組み合わせ、低HP時に追加回復を得る。"
无尽之炎魔,無尽の炎魔
"变得狂暴，所有产生的炎魂提高100%。并使你在一段时间内获得暴击提高。

攻略：爆发期需要覆盖。","狂乱状態となり、生成する全ての炎魂が100%増加し、一定時間会心が上昇する。

コツ：爆発期は維持する必要がある。"
烬灭！狱炎不知火,燼滅！獄炎不知火
