source,target
Mar. 2026 Collection Card,2026年5月コレクションカード
Apr. 2026 Collection Card,2026年6月コレクションカード
May 2026 Collection Card,2026年7月コレクションカード
Jun. 2026 Collection Card,2026年8月コレクションカード
Jul. 2026 Collection Card,2026年9月コレクションカード
Oct. 2027 Collection Card,2027年10月コレクションカード
Nov. 2027 Collection Card,2027年11月コレクションカード
Dec. 2027 Collection Card,2027年12月コレクションカード
Nov. 2026 Collection Card,2027年1月コレクションカード
Dec. 2026 Collection Card,2027年2月コレクションカード
Mar. 2027 Collection Card,2027年3月コレクションカード
Apr. 2027 Collection Card,2027年4月コレクションカード
May 2027 Collection Card,2027年5月コレクションカード
Jun. 2027 Collection Card,2027年6月コレクションカード
Jul. 2027 Collection Card,2027年7月コレクションカード
Aug. 2027 Collection Card,2027年8月コレクションカード
Sept. 2027 Collection Card,2027年9月コレクションカード
20 Players,20人チーム
2026 Renewal Unfolds Preview,26年光の流れ往く時 予告
2026 Spring Lantern Fair Preview,26年灯祭り予告
2026 Springfest Extension,26年祈歳 期間延長
Second Child,2人目の子ども
Double-Hung Shutters,2枚羽のブラインド
Double-Layer Storage Rack,2段物置棚
Dual-Head Floor Lamp,2灯スタンドライト
2-Piece Set,2点セット
Double Swing,2連フラットアタック
Double Slash,2連撃
369 Factor Pack Preview,369因子パックプレビュー
3C Test Scene,3Cテストマップ
Third Child,3人目の子ども
Triple Floor Light,3灯フロアランプ
Triple Pendant Light,3灯ペンダントライト
Triple Shot,3連弾
Void Corruption Bullet Triple Shot,3連虚蝕弾
4399 Download Pack,4399ダウンロードパック
4-Slot Badge Stand,4マスメダルスタンド
4-Player Table,4人プレイ卓
Four-Section Storage,4段の物置棚
4-Piece Set,4点セット
Basic Attack Quadruple Hit,4連通常攻撃
-50 Points,50pt減点
5× Charge,5倍チャージ
Five-Section Storage,5段の物置棚
Five-Stage Resonance,5段階共鳴
Five-Stage Escape Target - Middle-Aged Woman,5段階逃走目標-中年女
Five-Stage Escape Target - Young Girl,5段階逃走目標-少女
Five-Stage Escape Target - Young Boy,5段階逃走目標-少年
Five-Stage Escape Target - Elderly Man,5段階逃走目標-老年男
Five-Stage Escape Target - Young Woman,5段階逃走目標-青年女子
Five-Stage Escape Target - Young Man,5段階逃走目標-青年男子
Slow down by 80%,80%スロウ
Style Vault: 90% Off,90%オフ外観
"Wields a Nature Ring, excelling in long-range healing. Channels the verdant essence of the forest to deliver exceptional healing and buffs.",仙輪を武器とした遠距離回復を得意とする。森の生命力による回復と支援の能力に優れている。
"Wields a bow, excelling in long-range combat. Partners with animal companions to unleash wide-area attacks.",弓を武器とした遠距離戦闘を得意とする。臣獣を使役し共に戦うことで優れた広範囲攻撃能力を持っている。
"Wields a Reaper Scythe, excelling in close-range combat. Switches seamlessly between scythe and longsword forms, delivering precise area strikes.",月鎌刀を武器とした近接戦闘を得意とする。長刀と鎌を自在に切り替えながら戦うことができ、小範囲への攻撃に優れている。
"Wields a Frost Staff, excelling in long-range combat. Commands the power of ice to deliver wide-area DMG and formidable control.",氷魔の杖を武器とした遠距離戦闘を得意とする。氷の力を操り広範囲攻撃と行動制限に特化している
"Excels in close-range combat, using a Lance as a weapon. Agile and fast, possessing excellent small area attack capabilities.",穿雲槍を武器とした近接戦闘を得意とする。風が流れるような槍裁きで小範囲攻撃に長けている。
"Excels in long-range combat,capable of striking wide areas with rapid fire. Boosting Sigil chance greatly increases trigger frequency.Can charge at close range to deal massive DMG. Boosts critical rate for dealing massive DMG.",遠距離戦闘を得意とし、優れた攻撃能力を有する。遠方からの高頻度攻撃で広範囲のエネミーにダメージを与える。刻印確率ボーナスを追求すると発動頻度が上がる。近場でチャージして大量の爆発ダメージを叩き出すことも可能。会心確率を追求すれば多大な収益をもたらす。
"Wields a Guardblade, excelling in close-range combat. Channels the power of Rock to form a protective shell, offering exceptional defense and control.",重戦刃を武器とした近接戦闘を得意とする。岩石を凝集させて身を守り、優れた防御力とフィールド制御能力を有する。
Vote for {*player.name*},{*player.name*}に投票する
{*str*}s Until Frenzy Time,{*str*}秒後にクレイジータイムに入る
{*str*}s Until Transformation Time,{*str*}秒後に変幻タイムに入る
{*str*}s Until Illusion Siren,{*str*}秒後に夢世界の美音が出現
{*str*}s Until Illusion Energy Appears,{*str*}秒後に夢世界エネルギーが出現
"""Susan by the Sea"" repels the monster",『海辺のスーザン』モンスターを撃退
"""Bark"" to repel monsters",『犬の吠え声』モンスターを撃退
Wave Dodgeball Begins in {*str*}s,ウォータードッジボール {*str*}秒後に開始
Wave Dodgeball,ウォータードッジボール
Wave Dodgeball Waiting Phase,ウォータードッジボール待機フェーズ
Wave Dodgeball Preparation Phase,ウォータードッジボール準備フェーズ
Wave Dodgeball Ended,ウォータードッジボール終了
Frenzy Time,クレイジータイム
Game Starting,ゲームがまもなく開始
One-Punch Brawl Begins in {*str*}s,一撃大作戦 {*str*}秒後に開始
One-Punch Brawl,一撃大作戦
One-Punch Brawl Waiting Phase,一撃大作戦待機フェーズ
One-Punch Brawl Preparation Phase,一撃大作戦準備フェーズ
One-Punch Brawl Ended,一撃大作戦終了
Obtain Magic Food,不思議な食べ物を受け取る
Obtain Abundant Food,収穫した食べ物を受け取る
Laser Cyclone Begins in {*str*}s,回転レーザー {*str*}秒後に開始
Laser Cyclone,回転レーザー
Laser Cyclone Waiting Phase,回転レーザー待機フェーズ
Laser Cyclone Preparation Phase,回転レーザー準備フェーズ
Laser Cyclone Ended,回転レーザー終了
Transformation Time,変幻タイム
Illusion Siren,夢世界の美音
Illusion Energy,夢世界エネルギー
Photo Moment,撮影タイム
Extreme Low Tide Begins in {*str*}s,極限の引き潮 {*str*}秒後に開始
Extreme Low Tide,極限の引き潮
Extreme Low Tide Waiting Phase,極限の引き潮待機フェーズ
Extreme Low Tide Preparation Phase,極限の引き潮準備フェーズ
Extreme Low Tide Ended,極限の引き潮終了
Interdimensional Punishment Begins in {*str*}s,異次元の制裁 {*str*}秒後に開始
Interdimensional Punishment Ended,異次元の制裁終了
Interdimensional Punishment Activated,異次元の制裁開始
Claim White Lucky Bag,白のシェア福袋を受け取る
Load Green Fireworks,緑の花火を装填する
Claim Green Lucky Bag,緑のシェア福袋を受け取る
Obtain Green Firecrackers,緑の爆竹を受け取る
Launch Fireworks,花火を打ち上げる
Load Red Fireworks,赤の花火を装填する
Claim Red Lucky Bag,赤のシェア福袋を受け取る
Obtain Red Firecrackers,赤の爆竹を受け取る
Load Blue Fireworks,青の花火を装填する
Claim Blue Lucky Bag,青のシェア福袋を受け取る
Obtain Blue Firecrackers,青の爆竹を受け取る
Fish Frenzy Begins in {*str*}s,魚の群れ大暴走 {*str*}秒後に開始
Fish Frenzy,魚の群れ大暴走
Fish Frenzy Waiting Phase,魚の群れ大暴走待機フェーズ
Fish Frenzy Preparation Phase,魚の群れ大暴走準備フェーズ
Fish Frenzy Ended,魚の群れ大暴走終了
Claim Yellow Lucky Bag,黄色のシェア福袋を受け取る
Obtain Yellow Firecrackers,黄色の爆竹を受け取る
Dreambloom Ruins,幻花沈む地
Floating Island - Dragon Shackles,虚空の浮島・神竜の枷
"Join ""Balloon Capture""",<バルーン大作戦>に参加する
"Join ""City Rally""",<マウントレース>に参加する
"Join ""Wasteland Race""",<廃都障害レース>に参加
Join,<歳魔、襲来>に参加する
"Join ""Ee-chan, don't stare at me!""",<見ないでイー！>に参加する
About to Split,<魂>が分裂寸前
A-Rank Tunneling Effect,A級トンネル効果
A-Rank Perfect Maid,A級パーフェクトメイド
A-Rank Yo-Yo,A級ヨーヨー
A-Rank Reflector,A級反射鏡
A-Rank Shadow Devour Ring,A級影喰いの指輪
A-Rank Shadow Needle,A級影縫いの針
A-Rank Shadow Thread,A級影織りの糸
A-Rank Shadowless Bracelet,A級無影の腕輪
A-Rank Expanding Space,A級膨張空間
A-Rank Supreme Luck,A級超高級な幸運
A-Rank Magic Cloak,A級魔法のマント
A-Rank Magic Hourglass,A級魔法の砂時計
A-Rank Magic Band-Aid,A級魔法の絆創膏
A-Rank Magic Boots,A級魔法の靴
A Prize,A賞
Background music,BGM
BPSR x Fairy Tail Tee,BPSR x FAIRY TAIL・Tシャツ
BPSR x Monogatari Series Tee,BPSR×〈物語〉シリーズ・Tシャツ
BPSR x Shangri-La Frontier Tee,BPSR×『シャングリラ・フロンティア』・限定Tシャツ
B-Rank Tunneling Effect,B級トンネル効果
B-Rank Perfect Maid,B級パーフェクトメイド
B-Rank Yo-Yo,B級ヨーヨー
B-Rank Reflector,B級反射鏡
B-Rank Shadow Devour Ring,B級影喰いの指輪
B-Rank Shadow Needle,B級影縫いの針
B-Rank Shadow Thread,B級影織りの糸
B-Rank Shadowless Bracelet,B級無影の腕輪
B-Rank Expanding Space,B級膨張空間
B-Rank Supreme Luck,B級超高級な幸運
B-Rank Magic Cloak,B級魔法のマント
B-Rank Magic Hourglass,B級魔法の砂時計
B-Rank Magic Band-Aid,B級魔法の絆創膏
B-Rank Magic Boots,B級魔法の靴
B Prize,B賞
Your Monthly Crunchyroll Rewards,CRG有料会員の毎月の報酬
C Prize,C賞
Discord Login Rewards,Discordログイン報酬のお知らせ
D Prize,D賞
Excellent Support Module - Premium,EXC支援型モジュール・精選
Excellent Attack Module - Premium,EXC攻撃型モジュール・精選
Excellent Guard Module - Premium,EXC防御型モジュール・精選
EXP Pack,EXPパック
Experience Blessing,EXP祝福
E Prize,E賞
Fairy Tail,FAIRY TAIL
Fairy Tail - A Prize Voucher,FAIRY TAIL・A賞券
Fairy Tail - S Prize Voucher,FAIRY TAIL・S賞券
Fairy Tail - Wish Coin (Bound),FAIRY TAIL・ガシャコイン（バインド）
Fairy Tail - Gold Meow Point,FAIRY TAIL・ゴールドニャルポイント
Fairy Tail - Imagine Morph - Select,FAIRY TAIL・トライアルカード（選択）
Fairy Tail Baseball Cap,FAIRY TAIL・限定帽子
F Prize,F賞
Tier 1,G1
G10 Factor Selection - Stormblade,G10因子選択-ストームブレイド
G10 Factor Select Box,G10因子選択ボックス
G10 Factor Selection - Wind Knight,G10因子選択・ゲイルランサー
G10 Factor Selection - Shield Knight,G10因子選択・シールドファイター
G10 Factor Selection - Marksman,G10因子選択・ディバインアーチャー
G10 Factor Selection - Beat Performer,G10因子選択・ビートパフォーマー
G10 Factor Selection - Frost Mage,G10因子選択・フロストメイジ
G10 Factor Selection - Heavy Guardian,G10因子選択・ヘヴィガーディアン
G10 Factor Selection - Verdant Oracle,G10因子選択・ヴァーダントオラクル
G10 Factor Selection - Stasis,G10因子選択・恒常性
G10 Factor Selection - Polarity,G10因子選択・極性
G10 Factor Selection - Rhapsody,G10因子選択・狂想
G10 Factor Selection - Rhapsody (Wind Knight),G10因子選択・狂想（ゲイルランサー）
G10 Factor Selection - Rhapsody (Shield Knight),G10因子選択・狂想（シールドファイター）
G10 Factor Selection - Rhapsody (Stormblade),G10因子選択・狂想（ストームブレイド）
G10 Factor Selection - Rhapsody (Marksman),G10因子選択・狂想（ディバインアーチャー）
G10 Factor Selection - Rhapsody (Beat Performer),G10因子選択・狂想（ビートパフォーマー）
G10 Factor Selection - Rhapsody (Frost Mage),G10因子選択・狂想（フロストメイジ）
G10 Factor Selection - Rhapsody (Heavy Guardian),G10因子選択・狂想（ヘヴィガーディアン）
G10 Factor Selection - Rhapsody (Verdant Oracle),G10因子選択・狂想（ヴァーダントオラクル）
Tier 2,G2
Tier 3,G3
Tier 4,G4
G4 Factor Selection - Stormblade,G4因子選択-ストームブレイド
G4 Factor Selection - Frost Mage,G4因子選択-フロストメイジ
G4 Factor Select Box,G4因子選択ボックス
G4 Factor Selection - Wind Knight,G4因子選択・ゲイルランサー
G4 Factor Selection - Shield Knight,G4因子選択・シールドファイター
G4 Factor Selection - Marksman,G4因子選択・ディバインアーチャー
G4 Factor Selection - Beat Performer,G4因子選択・ビートパフォーマー
G4 Factor Selection - Heavy Guardian,G4因子選択・ヘヴィガーディアン
G4 Factor Selection - Verdant Oracle,G4因子選択・ヴァーダントオラクル
G4 Factor Selection - Stasis,G4因子選択・恒常性
G4 Factor Selection - Polarity,G4因子選択・極性
G4 Factor Selection - Rhapsody,G4因子選択・狂想
G4 Factor Selection - Rhapsody (Wind Knight),G4因子選択・狂想（ゲイルランサー）
G4 Factor Selection - Rhapsody (Shield Knight),G4因子選択・狂想（シールドファイター）
G4 Factor Selection - Rhapsody (Stormblade),G4因子選択・狂想（ストームブレイド）
G4 Factor Selection - Rhapsody (Marksman),G4因子選択・狂想（ディバインアーチャー）
G4 Factor Selection - Rhapsody (Beat Performer),G4因子選択・狂想（ビートパフォーマー）
G4 Factor Selection - Rhapsody (Frost Mage),G4因子選択・狂想（フロストメイジ）
G4 Factor Selection - Rhapsody (Heavy Guardian),G4因子選択・狂想（ヘヴィガーディアン）
G4 Factor Selection - Rhapsody (Verdant Oracle),G4因子選択・狂想（ヴァーダントオラクル）
Tier 5,G5
Tier 6,G6
G7 Factor Selection - Stormblade,G7因子選択-ストームブレイド
G7 Factor Select Box,G7因子選択ボックス
G7 Factor Selection - Wind Knight,G7因子選択・ゲイルランサー
G7 Factor Selection - Shield Knight,G7因子選択・シールドファイター
G7 Factor Selection - Marksman,G7因子選択・ディバインアーチャー
G7 Factor Selection - Beat Performer,G7因子選択・ビートパフォーマー
G7 Factor Selection - Frost Mage,G7因子選択・フロストメイジ
G7 Factor Selection - Heavy Guardian,G7因子選択・ヘヴィガーディアン
G7 Factor Selection - Verdant Oracle,G7因子選択・ヴァーダントオラクル
G7 Factor Selection - Stasis,G7因子選択・恒常性
G7 Factor Selection - Polarity,G7因子選択・極性
G7 Factor Selection - Rhapsody,G7因子選択・狂想
G7 Factor Selection - Rhapsody (Wind Knight),G7因子選択・狂想（ゲイルランサー）
G7 Factor Selection - Rhapsody (Shield Knight),G7因子選択・狂想（シールドファイター）
G7 Factor Selection - Rhapsody (Stormblade),G7因子選択・狂想（ストームブレイド）
G7 Factor Selection - Rhapsody (Marksman),G7因子選択・狂想（ディバインアーチャー）
G7 Factor Selection - Rhapsody (Beat Performer),G7因子選択・狂想（ビートパフォーマー）
G7 Factor Selection - Rhapsody (Frost Mage),G7因子選択・狂想（フロストメイジ）
G7 Factor Selection - Rhapsody (Heavy Guardian),G7因子選択・狂想（ヘヴィガーディアン）
G7 Factor Selection - Rhapsody (Verdant Oracle),G7因子選択・狂想（ヴァーダントオラクル）
Honor Coin,GC
GM,GM設定
G Prize,G賞
Half-Health Kneeling Performance,HP50％跪きデモ
HP Recovery,HP回復
Life Enhancement,HP強化
HP Regen,HP持続回復
Bleed,HP流失
Mastery of Bleed,HP流失精通
Bloodbound Surge,HP限界突破
Honor Download Pack,Honorダウンロードパック
Huawei Download Pack,Huaweiダウンロードパック
Huya Download Pack,Huyaダウンロードパック
Huya Avatar Frame,Huya限定-アイコンフレーム
ID Placeholder,IDプレースホルダー
ID Machine,ID発行機
Xinyue Lv.1-G2 Avatar Frame,Joy Club G1-G2-アイコンフレーム
Xinyue V1-V2 Avatar Frame,Joy Club V1-V2-アイコンフレーム
Xinyue V3-V4 Avatar Frame,Joy Club V3-V4-アイコンフレーム
Xinyue V5 Avatar Frame,Joy Club V5-アイコンフレーム
Xinyue Lv.1-G4 Download Pack,Joy ClubG1-G4ダウンロードパック
Xinyue V1-V2 Download Pack,Joy ClubV1-V2ダウンロードパック
Xinyue V3-V4 Download Pack,Joy ClubV3-V4ダウンロードパック
Xinyue V5 Download Pack,Joy ClubV5ダウンロードパック
Kuaishou Avatar Frame,Kuaishou限定-アイコンフレーム
Kuaishou Download Pack,Kwaiダウンロードパック
Lv.10 Gift Box,Lv.10ギフト
Lv.15 Gift Box,Lv.15ギフト
Lv.1: (Link +{*val[2]*} can be activated){*val[1]*}Lv.2: (Link +{*val[4]*} can be activated){*val[3]*}Lv.3: (Link +{*val[6]*} can be activated){*val[5]*}Lv.4: (Link +{*val[8]*} can be activated){*val[7]*}Lv.5: (Link +{*val[10]*} can be activated){*val[9]*}Lv.6: (Link +{*val[12]*} can be activated){*val[11]*},"Lv.1：（リンク+{*val[2]*}で発動可能）{*val[1]*}Lv.2：（リンク+{*val[4]*}で発動可能）{*val[3]*}Lv.3：（リンク+{*val[6]*}で発動可能）{*val[5]*}
Lv.4：（リンク+{*val[8]*}で発動可能）{*val[7]*}Lv.5：（リンク+{*val[10]*}で発動可能）{*val[9]*}Lv.6：（リンク+{*val[12]*}で発動可能）{*val[11]*}"
Lv.20 Gift Box,Lv.20ギフト
Lv.25 Gift Box,Lv.25ギフト
Lv.30 Gift Box,Lv.30ギフト
Lv.35 Gift Box,Lv.35ギフト
Lv.40 Gift Box,Lv.40ギフト
Lv.40 Gear Exchange,Lv.40装備交換
Lv.45 Gift Box,Lv.45ギフト
Lv.50 Gift Box,Lv.50ギフト
Lv.55 Gift Box,Lv.55ギフト
Lv.5 Gift Box,Lv.5ギフト
Lv.60 Gift Box,Lv.60ギフト
Lv.60 Gear Exchange,Lv.60装備交換
Lv.80 Gear Exchange,Lv.80装備交換
NPC Evangelist,NPCの救世主
Non-players' overhead info,NPCの頭上情報
No. 71,No.71・セット
Confirm/Cancel,OK/キャンセルボタン
OPPO Download Pack,OPPOダウンロードパック
Key Display Prompt on PC,PCキー表示ヒント
Cross-Platform Interaction,PC・スマホ対応
QQ Game Center,QQゲームセンター
QQ Game Pack,QQゲームセンターDLパック
QQ Game Center Starter Pack,QQゲームセンター開放パック
Scan to Import,QRコードでインポート
S1-S2 Advanced Materials - Select,S1~S2上級素材・選択ボックス
S1-S2 Exquisite Materials - Select,S1~S2最上級素材・選択ボックス
S2 EXP,S2冒険者EXP
Current Stamina,ST
Life Serpent Hatchling,Sライフスネーク
Rock Serpent Hatchling,Sロックスネーク
Small Rock Snake - Energy Absorption,Sロックスネーク-エネルギー吸収
Small Rock Snake - Rock Snake Spit,Sロックスネーク-ロックスネーク噴射
S-Rank Tunneling Effect,S級トンネル効果
S-Rank Perfect Maid,S級パーフェクトメイド
S-Rank Yo-Yo,S級ヨーヨー
S-Rank Reflector,S級反射鏡
S-Rank Shadow Devour Ring,S級影喰いの指輪
S-Rank Shadow Needle,S級影縫いの針
S-Rank Shadow Thread,S級影織りの糸
S-Rank Shadowless Bracelet,S級無影の腕輪
S-Rank Expanding Space,S級膨張空間
S-Outfit Crafting Item 2,S級衣装製作アイテム2
S-Rank Supreme Luck,S級超高級な幸運
S-Class Mage,S級魔導士
S-Rank Magic Cloak,S級魔法のマント
S-Rank Magic Hourglass,S級魔法の砂時計
S-Rank Magic Band-Aid,S級魔法の絆創膏
S-Rank Magic Boots,S級魔法の靴
S Prize,S賞
Trade coin shop,TCショップ
TapTap Download Pack,TapTapダウンロードパック
Tencent Appstore Avatar Frame,Tencent Appstore限定-アイコンフレーム
Tencent Iwan Download Pack,Tencent Video iwanダウンロードパック
Tencent Video Avatar Frame,Tencent Video限定-アイコンフレーム
Tencent Channel Exclusive,Tencentチャンネル限定
Douyin Download Pack,TikTokダウンロードパック
Douyin Avatar Frame,TikTok限定-アイコンフレーム
Tip,Tips
Twitch Viewing Event Reward,Twitch視聴イベント報酬
UI Designer I,UIデザイナー・一
UI Designer II,UIデザイナー・二
WeChat Game,WeChatゲーム
WeGame Pack,WeChatゲームDLパック
WeChat Game Starter Pack,WeChatゲーム開放パック
Xiaomi Download Pack,Xiaomiダウンロードパック
[10]Illusion Elite: Lizardman Hunter,[10]幻影精鋭・ギルミーハンター
[10]Illusion Elite: Lizardman Mage,[10]幻影精鋭・ギルミーメイジ
[10]Illusion Elite: Great Warhog,[10]幻影精鋭・グレートファング
[10]Illusion Elite: Goblin Warrior,[10]幻影精鋭・ゴブリン弓兵
[10]Illusion Elite: Goblin Guard,[10]幻影精鋭・ゴブリン衛士
[10]Illusion Elite: Boarrier Tyrant,[10]幻影精鋭・タイラントボア
[10]Illusion Elite: Muku Warrior,[10]幻影精鋭・ムークウォーリアー
[10]Illusion Elite: Muku Vanguard,[10]幻影精鋭・ムークスマッシャー
[20]Illusion Edge,[20]幻想のガードブレード
[20]Illusion Staff,[20]幻想の杖
[20]Illusion Blade,[20]幻想刀
[40]Illusion Boss: Lizardman King,[40]幻影ボス・キングギルミー
[40]Illusion Boss: Goblin King,[40]幻影ボス・キングゴブリン
[40]Illusion Boss: Muku Chief,[40]幻影ボス・ムークボス
[40]Illusion Boss: Frost Demon,[40]幻影ボス・氷魔
[40]Illusion Boss: Fire Demon,[40]幻影ボス・火魔
[40]Illusion Boss: Iron Fang,[40]幻影ボス・鉄牙
[40]Illusion Boss: Thunder Demon,[40]幻影ボス・雷魔
[50]Illusion Edge,[50]幻想のガードブレード
[50]Illusion Guitar,[50]幻想のギター
[50]Illusion Verdant Oracle,[50]幻想の仙輪
[50]Illusion Aegis,[50]幻想の剣盾
[50]Illusion Bow,[50]幻想の弓
[50]Illusion Banner Spear,[50]幻想の旗槍
[50]Illusion Staff,[50]幻想の杖
[50]Illusion Blade,[50]幻想刀
[Lv.+1] Haste +300,[Lv+1]ファスト+300
[Lv.+1] Main Stats +100,[Lv+1]メインステータス+100
[Lv.+1] Crit +300,[Lv+1]会心+300
[Lv.+1] Mastery +300,[Lv+1]器用さ+300
[Lv.+1] Luck +300,[Lv+1]幸運+300
[Lv.+1] Armor +300,[Lv+1]防御力+300
[Boss] Kanamia Axelord,[ボス]カナミアの斧王
Boss - Kanamian Undead Warlord,[ボス]カナミア死霊軍長
Boss - Quinin,[ボス]キニーン
Boss - Goblin King - Void,[ボス]キングゴブリン・変異種
Boss - Void Boarrier King,[ボス]キングボア・変異種
[Boss] Goblin King - Calamity,[ボス]ゴブリンウォーロード・災禍
Boss - Super Mech 07,[ボス]スーパーゴーレム07型
[Boss] Dogorman,[ボス]ドゴルマン
Boss - Battle Mech 03,[ボス]バトルゴーレム03型
Boss - Flame Orc,[ボス]フレイムオーク
[Boss] Bluespine Lizard,[ボス]ブルースパインリザード
Boss - Muku Warrior,[ボス]ムークウォーリアー
Boss - Mercenary Graves,[ボス]傭兵グレイブ
Boss - Void Goblin Axe,[ボス]大斧ゴブリン・変異種
Boss - Dark Mist Swordsman,[ボス]暗霧剣士
Boss - Dark Mist Mage,[ボス]暗霧魔術師
Boss - Manned Mech,[ボス]有人メカ
Boss - Blazing Mech 05,[ボス]灼熱ゴーレム05型
Boss - Elite Manned Mech,[ボス]精鋭有人メカ
[Rune] Conquest Armguards,[ルーン]征伐のブラサード
[Rune] Conquest Sabatons,[ルーン]征伐のプレートブーツ
[Rune] Conquest Plate,[ルーン]征伐のプレートメイル
[Rune] Conquest Ruby Bracelet (R),[ルーン]征伐のルビーの腕輪-右
[Rune] Conquest Ruby Bracelet (L),[ルーン]征伐のルビーの腕輪-左
[Rune] Conquest Warhelm,[ルーン]征伐の兜
[Rune] Oracle Diamond Bracelet (R),[ルーン]神託のダイヤの腕輪-右
[Rune] Oracle Diamond Bracelet (L),[ルーン]神託のダイヤの腕輪-左
[Rune] Oracle Legguards,[ルーン]神託のトールブーツ
[Rune] Oracle Handwraps,[ルーン]神託のバンテージ
[Rune] Oracle Hood,[ルーン]神託のフード
[Rune] Oracle Robe,[ルーン]神託のローブ
[Rune] Breaker Gauntlets,[ルーン]襲撃のガントレット
[Rune] Breaker Facehelm,[ルーン]襲撃のキャップ
[Rune] Breaker Greaves,[ルーン]襲撃のグリーヴ
[Rune] Breaker Cuirass,[ルーン]襲撃のチェストアーマー
[Rune] Breaker Jade Bracelet (R),[ルーン]襲撃の翡翠の腕輪-右
[Rune] Breaker Jade Bracelet (L),[ルーン]襲撃の翡翠の腕輪-左
[Repairer] Elite Defensive Type 06,[修理者]エリートディフェンダー06型
Mountain Cleaver - Command,[匠]アースクラッシャー・統率
Everfrost Staff,[匠]エバーフリーズ
Everfrost Staff - Apprentice,[匠]エバーフリーズ・新人
Jade Longbow,[匠]ゴールデンボウ
Jade Longbow - Breaker,[匠]ゴールデンボウ・襲撃
Sunburst Longbow,[匠]サンシャインボウ
Glory Bow - Ranger,[匠]サンシャインボウ・レンジャー
Shatterblade - Guard,[匠]スマッシュブレード・禁衛
Eclipse Lance - Lionheart,[匠]ブルームーン・獅子
Sacred Legacy - Judgment,[匠]ホーリーシールド・審判
Celestial Pyre,[匠]ミラージュハーブ
Celestial Pyre - Severe,[匠]ミラージュハーブ・絶弦
Glory Aeg- Order,[匠]ライト&シャドウ・秩序
Luminous Longbow,[匠]ラディアントボウ
Luminous Longbow - Scout,[匠]ラディアントボウ・斥候
Glory Edge - Conquest,[匠]ラースブレード・征伐
Thunder Blade - Anatta,[匠]千鳥・無我
Thunder Blade,[匠]千鳥震霆刀
Revival Ring,[匠]回復の仙輪
Revival Ring - Medic,[匠]回復の仙輪・医者
Mountain Cleaver,[匠]岩盤を揺るがす巨刃
Glory Aegis,[匠]日影恒輝の盾
Eclipse Ring,[匠]月光の仙輪
Eclipse Ring - Oracle,[匠]月光の仙輪・神託
Frozen Depths Staff,[匠]氷淵の杖
Eclipse Staff - Magitech,[匠]氷淵の杖・魔導
Everice Staff,[匠]永氷の魔杖
Glory Staff - Incantation,[匠]永氷の魔杖・詠呪
Blazing Strings,[匠]灼熱の七弦
Blazing Strings - Chant,[匠]灼熱の七弦・吟遊
Wane Warplate,[匠]無常のアーマー
Wane Armguards,[匠]無常のアームガード
Wane Armbands,[匠]無常のアームバンド
Wane Armplates,[匠]無常のアームプレート
Wane Openhelm,[匠]無常のオープンヘルム
