source,target
掣电太刀·修业,閃雷・修行
雷影剑士职业史诗般的武器。,ストームブレイドにおける伝説級の武器。
永冻之杖·学徒,エバーフリーズ・新人
冰魔导师职业史诗般的武器。,フロストメイジにおける伝説級の武器。
正风长枪·强攻,穿雲槍・強攻
青岚骑士职业史诗般的武器。,ゲイルランサーにおける伝説級の武器。
复苏法环·医者,回復の仙輪・医者
森语者职业史诗般的武器。,ヴァーダントオラクルにおける伝説級の武器。
碎裂巨刃·禁卫,スマッシュブレード・禁衛
巨刃守护者职业史诗般的武器。,ヘヴィガーディアンクラスの伝説級の武器。
光涌长弓·斥候,ラディアントボウ・斥候
神射手职业史诗般的武器。,ディバインアーチャーにおける伝説級の武器。
圣光之盾·守护,聖光の盾・防御
神盾骑士职业史诗般的武器。,シールドファイターの伝説級の武器。
[极]掣电太刀·胧剑,[極]閃雷・朧
[极]掣电太刀·切羽,[極]閃雷・切羽
[极]永冻之杖·冰息,[極]エバーフリーズ・氷息
[极]永冻之杖·碎晶,[極]エバーフリーズ・砕晶
[极]正风长枪·劲风,[極]穿雲槍・強風
[极]正风长枪·风行,[極]穿雲槍・疾走
[极]复苏法环·净痕,[極]回復の仙輪・浄痕
[极]复苏法环·治愈,[極]回復の仙輪・治愈
[极]碎裂巨刃·无畏,[極]スマッシュブレード・豪胆
[极]碎裂巨刃·御敌,[極]スマッシュブレード・防衛
[极]光涌长弓·猎手,[極]ラディアントボウ・狩人
[极]光涌长弓·哨戒,[極]ラディアントボウ・哨戒
[极]圣光之盾·晨光,[極]聖光の盾・曙光
[极]圣光之盾·破晓,[極]聖光の盾・破暁
[极]掣电太刀·修业,[極]閃雷・修行
[极]永冻之杖·学徒,[極]エバーフリーズ・新人
[极]正风长枪·强攻,[極]穿雲槍・強攻
[极]复苏法环·医者,[極]回復の仙輪・医者
[极]碎裂巨刃·禁卫,[極]スマッシュブレード・禁衛
[极]光涌长弓·斥候,[極]ラディアントボウ・斥候
[极]圣光之盾·守护,[極]聖光の盾・防御
灼热七弦·行吟,灼熱の七弦・吟遊
灵魂乐手史诗般的武器。,ビートパフォーマーの伝説級の武器
[极]灼热七弦·战诗,[極]灼熱の七弦・戦詩
[极]灼热七弦·礼赞,[極]灼熱の七弦・礼賛
[极]灼热七弦·行吟,[極]灼熱の七弦・吟遊
[匠]掣电太刀·修业,[匠]閃雷・修行
[匠]永冻之杖·学徒,[匠]エバーフリーズ・新人
[匠]正风长枪·强攻,[匠]穿雲槍・強攻
[匠]复苏法环·医者,[匠]回復の仙輪・医者
[匠]碎裂巨刃·禁卫,[匠]スマッシュブレード・禁衛
[匠]光涌长弓·斥候,[匠]ラディアントボウ・斥候
[匠]圣光之盾·守护,[匠]聖光の盾・防御
[匠]灼热七弦·行吟,[匠]灼熱の七弦・吟遊
煌雷刀·剑豪,煌雷・剣豪
[极]煌雷刀·无明,[極]煌雷・無明
[极]煌雷刀·纷乱,[極]煌雷・混迷
恒冰魔杖·咏咒,永氷の魔杖・詠呪
[极]恒冰魔杖·凝霜,[極]永氷の魔杖・凝霜
[极]恒冰魔杖·唤冰,[極]永氷の魔杖・氷来
疾风锁刃枪·先驱,疾風のスピア・先駆
[极]疾风锁刃枪·苍翠,[極]疾風のスピア・蒼翠
[极]疾风锁刃枪·涌动,[極]疾風のスピア・激動
森之丰饶法环·护佑,豊かなる森の仙輪・祝福
[极]森之丰饶法环·谐律,[極]豊かなる森の仙輪・調和
[极]森之丰饶法环·祷言,[極]豊かなる森の仙輪・祈り
狂怒强击之刃·征伐,ラースブレード・征伐
[极]狂怒强击之刃·悍勇,[極]ラースブレード・勇猛
[极]狂怒强击之刃·坚韧,[極]ラースブレード・強靱
耀日长弓·游侠,サンシャインボウ・レンジャー
[极]耀日长弓·林影,[極]サンシャインボウ・林影
[极]耀日长弓·敏锐,[極]サンシャインボウ・鋭敏
日影恒辉盾·秩序,ライト&シャドウ・秩序
[极]日影恒辉盾·铸光,[極]ライト&シャドウ・閃光
[极]日影恒辉盾·黎明,[極]ライト&シャドウ・黎明
[极]煌雷刀·剑豪,[極]煌雷・剣豪
[极]恒冰魔杖·咏咒,[極]永氷の魔杖・詠呪
[极]疾风锁刃枪·先驱,[極]疾風のスピア・先駆
[极]森之丰饶法环·护佑,[極]豊かなる森の仙輪・祝福
[极]狂怒强击之刃·征伐,[極]ラースブレード・征伐
[极]耀日长弓·游侠,[極]サンシャインボウ・レンジャー
[极]日影恒辉盾·秩序,[極]ライト&シャドウ・秩序
热能脉冲音臂·协律,熱エネルギーパルス音響アーム・協律
[极]热能脉冲音臂·破界,[極]熱エネルギーパルス音響アーム・破界
[极]热能脉冲音臂·颂歌,[極]熱エネルギーパルス音響アーム・頌歌
[极]热能脉冲音臂·协律,[極]熱エネルギーパルス音響アーム・協律
[匠]煌雷刀·剑豪,[匠]煌雷・剣豪
[匠]恒冰魔杖·咏咒,[匠]永氷の魔杖・詠呪
[匠]疾风锁刃枪·先驱,[匠]疾風の穿雲槍・先駆
[匠]森之丰饶法环·护佑,[匠]豊かなる森の仙輪・祝福
[匠]狂怒强击之刃·征伐,[匠]ラースブレード・征伐
[匠]耀日长弓·游侠,[匠]サンシャインボウ・レンジャー
[匠]日影恒辉盾·秩序,[匠]ライト&シャドウ・秩序
[匠]热能脉冲音臂·协律,[匠]熱エネルギーパルス音響アーム・協律
千鸟震霆刀·无我,千鳥・無我
[极]千鸟震霆刀·天照,[極]千鳥・日輪
[极]千鸟震霆刀·千影,[極]千鳥・千影
冰渊咒杖·魔导,氷淵の杖・魔導
[极]冰渊咒杖·冰脉,[極]氷淵の杖・氷脈
[极]冰渊咒杖·寒锋,[極]氷淵の杖・冷刃
青牙月风枪·狮心,ブルームーン・獅子
[极]青牙月风枪·暴风,[極]ブルームーン・暴風
[极]青牙月风枪·踏岚,[極]ブルームーン・踏嵐
月使银光法环·神语,月光の仙輪・神託
[极]月使银光法环·万灵,[極]月光の仙輪・万霊
[极]月使银光法环·福音,[極]月光の仙輪・福音
斩岩憾地巨刃·统领,アースクラッシャー・統率
[极]斩岩憾地巨刃·仲裁,[極]アースクラッシャー・仲裁
[极]斩岩憾地巨刃·不灭,[極]アースクラッシャー・不滅
金玉长弓·破袭,ゴールデンボウ・襲撃
[极]金玉长弓·兽王,[極]ゴールデンボウ・獣王
[极]金玉长弓·鹰眼,[極]ゴールデンボウ・鷹眼
炽光之遗圣盾·审判,ホーリーバリア・審判
[极]炽光之遗圣盾·圣誓,[極]ホーリーバリア・聖誓
[极]炽光之遗圣盾·天启,[極]ホーリーバリア・天啓
[极]千鸟震霆刀·无我,[極]千鳥・無我
[极]冰渊咒杖·魔导,[極]氷淵の杖・魔導
[极]青牙月风枪·狮心,[極]ブルームーン・獅子
[极]月使银光法环·神语,[極]月光の仙輪・神託
[极]斩岩憾地巨刃·统领,[極]アースクラッシャー・統率
[极]金玉长弓·破袭,[極]ゴールデンボウ・襲撃
[极]炽光之遗圣盾·审判,[極]ホーリーバリア・審判
天火幻梦琴桥·绝弦,ミラージュハーブ・絶弦
[极]天火幻梦琴桥·寂灭,[極]ミラージュハーブ・寂滅
[极]天火幻梦琴桥·咏叹,[極]ミラージュハーブ・詠嘆
[极]天火幻梦琴桥·绝弦,[極]ミラージュハーブ・絶弦
[匠]千鸟震霆刀·无我,[匠]千鳥・無我
[匠]冰渊咒杖·魔导,[匠]氷淵の杖・魔導
[匠]青牙月风枪·狮心,[匠]ブルームーン・獅子
[匠]月使银光法环·神语,[匠]月光の仙輪・神託
[匠]斩岩憾地巨刃·统领,[匠]アースクラッシャー・統率
[匠]金玉长弓·破袭,[匠]ゴールデンボウ・襲撃
[匠]炽光之遗圣盾·审判,[匠]ホーリーシールド・審判
[匠]天火幻梦琴桥·绝弦,[匠]ミラージュハーブ・絶弦
煌雷飞火切,サンダーフレイムエッジ
恒冰结晶杖,永氷結晶の杖
疾风贯虹枪,疾風のレインボーランス
自然繁盛法环,ヴァーダント仙輪
无尽狂怒之刃,インフィニティレイジブレード
耀日永辉弓,ソーラーフレアボウ
日影辉耀壁垒,サンシャドウのガードウォール
炽烈震爆音臂,ブラストサウンドアーム
千鸟神雷斩,千鳥神雷斬
冰渊寒潮咒杖,氷淵寒波の魔杖
青牙霄晖枪,アズールファング
耀世月光之环,ルナティックリング
斩岩断脊巨刃,ロックブレイカー
金玉灵宝弓,ゴールデントレジャーボウ
炽光决意守护者,デシジョンガーディアン
天火统御炎弦,フレイムストリング
遥远之海的断影,蒼海の断片
雷影剑士职业史诗般的武器，由<color=#ef8e60>千鸟神雷斩</color>升级打造而来，在后续的赛季中，使用少量潋光的星核可以继续突破该武器，并提升至对应装等。,ストームブレイドクラスの伝説級の武器。<color=#ef8e60>千鳥神雷斬</color>からクラフトされる。今後のシーズンで、少量の光り輝く星のコアを使用することで、この武器を引き続き突破させ、対応する装備レベルまで上げることができる。
遥远之海的启示,蒼海の神託
冰魔导师职业史诗般的武器，由<color=#ef8e60>冰渊寒潮咒杖</color>升级打造而来，在后续的赛季中，使用少量潋光的星核可以继续突破该武器，并提升至对应装等。,フロストメイジクラスの伝説級の武器。<color=#ef8e60>氷淵寒波の魔杖</color>からクラフトされる。今後のシーズンで、少量の光り輝く星のコアを使用することで、この武器を引き続き突破させ、対応する装備レベルまで上げることができる。
遥远之海的祈愿,蒼海の祈祷
青岚骑士职业史诗般的武器，由<color=#ef8e60>青牙霄晖枪</color>升级打造而来，在后续的赛季中，使用少量潋光的星核可以继续突破该武器，并提升至对应装等。,ゲイルランサークラスの伝説級の武器。<color=#ef8e60>アズールファング</color>からクラフトされる。今後のシーズンで、少量の光り輝く星のコアを使用することで、この武器を引き続き突破させ、対応する装備レベルまで上げることができる。
遥远之海的恩典,蒼海の恩寵
森语者职业史诗般的武器，由<color=#ef8e60>耀世月光之环</color>升级打造而来，在后续的赛季中，使用少量潋光的星核可以继续突破该武器，并提升至对应装等。,ヴァーダントオラクルクラスの伝説級の武器。<color=#ef8e60>ルナティックリング</color>からクラフトされる。今後のシーズンで、少量の光り輝く星のコアを使用することで、この武器を引き続き突破させ、対応する装備レベルまで上げることができる。
遥远之海的守候,蒼海の守護
巨刃守护者职业史诗般的武器，由<color=#ef8e60>斩岩断脊巨刃</color>升级打造而来，在后续的赛季中，使用少量潋光的星核可以继续突破该武器，并提升至对应装等。,ヘヴィガーディアンクラスの伝説級の武器。<color=#ef8e60>ロックブレイカー</color>からクラフトされる。今後のシーズンで、少量の光り輝く星のコアを使用することで、この武器を引き続き突破させ、対応する装備レベルまで上げることができる。
遥远之海的远眺,蒼海の天望
神射手职业史诗般的武器，由<color=#ef8e60>金玉灵宝弓</color>升级打造而来，在后续的赛季中，使用少量潋光的星核可以继续突破该武器，并提升至对应装等。,ディバインアーチャークラスの伝説級の武器。<color=#ef8e60>ゴールデントレジャーボウ</color>からクラフトされる。今後のシーズンで、少量の光り輝く星のコアを使用することで、この武器を引き続き突破させ、対応する装備レベルまで上げることができる。
遥远之海的誓约,蒼海の誓い
神盾骑士职业史诗般的武器，由<color=#ef8e60>炽光决意守护者</color>升级打造而来，在后续的赛季中，使用少量潋光的星核可以继续突破该武器，并提升至对应装等。,シールドファイタークラスの伝説級の武器。<color=#ef8e60>デシジョンガーディアン</color>からクラフトされる。今後のシーズンで、少量の光り輝く星のコアを使用することで、この武器を引き続き突破させ、対応する装備レベルまで上げることができる。
遥远之海的颂歌,蒼海の讃歌
灵魂乐手史诗般的武器，由<color=#ef8e60>天火统御炎弦</color>升级打造而来，在后续的赛季中，使用少量潋光的星核可以继续突破该武器，并提升至对应装等。,ビートパフォーマーの壮大な武器。<color=#ef8e60>フレイムストリング</color>からクラフトされる。今後のシーズンで、少量の光り輝く星のコアを使用することで、この武器を引き続き突破させ、対応する装備レベルまで上げることができる。
进阶冒险者太刀镰（物理）,上級冒険者のブレードサイス（物理）
进阶冒险者冰魔杖（魔法）,上級冒険者の氷の魔杖（魔法）
进阶冒险者长枪（物理）,上級冒険者の穿雲槍（物理）
进阶冒险者法环（魔法）,上級冒険者の仙輪（魔法）
进阶冒险者卫刃（物理）,上級冒険者の重戦刃（物理）
进阶冒险者长弓（物理）,上級冒険者の弓（物理）
进阶冒险者剑盾（物理）,上級冒険者の剣盾（物理）
进阶冒险者电吉他（魔法）,上級冒険者のエレキギター（魔法）
进阶冒险者精制太刀镰,上級冒険者の上級ブレードサイス
进阶冒险者精制冰魔杖,上級冒険者の上級氷の魔杖
进阶冒险者精制长枪,上級冒険者の上級穿雲槍
进阶冒险者精制法环,上級冒険者の上級仙輪
进阶冒险者精制卫刃,上級冒険者の上級重戦刃
进阶冒险者精制长弓,上級冒険者の上級弓
进阶冒险者精制剑盾,上級冒険者の上級剣盾
进阶冒险者精制电吉他,上級冒険者の上級エレキギター
[极]龙脊长枪·风行,[極]竜背穿雲槍・疾走
[极]龙脊长枪·劲风,[極]竜背穿雲槍・強風
[极]重斩巨刃·无畏,[極]スラッシュブレード・豪胆
[极]重斩巨刃·御敌,[極]スラッシュブレード・防衛
[极]坚壁之盾·晨光,[極]鉄壁の盾・曙光
[极]坚壁之盾·破晓,[極]鉄壁の盾・破暁
[极]霹雳太刀·胧剑,[極]霹靂・朧
[极]霹雳太刀·切羽,[極]霹靂・切羽
[极]风行长弓·猎手,[極]ウィンドボウ・狩人
[极]风行长弓·哨戒,[極]ウィンドボウ・哨戒
[极]霜结之杖·碎晶,[極]ホアフロスト・砕晶
[极]霜结之杖·冰息,[極]ホアフロスト・氷息
[极]萌药之环·治愈,[極]秘薬の仙輪・治癒
[极]萌药之环·净痕,[極]秘薬の仙輪・浄痕
[极]燃焰和弦·礼赞,[極]バーニングコード・礼賛
[极]燃焰和弦·战诗,[極]バーニングコード・戦詩
霹雳太刀·修业,霹靂・修行
霜结之杖·学徒,ホアフロスト・徒弟
龙脊长枪·强攻,竜背穿雲槍・強攻
风行长弓·斥候,ウィンドボウ・斥候
重斩巨刃·禁卫,スラッシュブレード・禁衛
燃焰和弦·行吟,バーニングコード・吟遊
萌药之环·医者,秘薬の仙輪・医者
坚壁之盾·守护,鉄壁の盾・防御
[极]破晓长枪·涌动,[極]暁の穿雲槍・激動
[极]破晓长枪·苍翠,[極]暁の穿雲槍・蒼翠
[极]裂地破军之刃·悍勇,[極]クラッシュブレード・勇猛
[极]裂地破军之刃·坚韧,[極]クラッシュブレード・強靱
[极]永固归元盾·铸光,[極]不帰の盾・閃光
[极]永固归元盾·黎明,[極]不帰の盾・黎明
[极]轰雷刀·无明,[極]極雷・無明
[极]轰雷刀·纷乱,[極]極雷・混迷
[极]射影长弓·林影,[極]エクリプスボウ・林影
[极]射影长弓·敏锐,[極]エクリプスボウ・鋭敏
[极]雪葬魔杖·唤冰,[極]雪葬の魔杖・氷来
[极]雪葬魔杖·凝霜,[極]雪葬の魔杖・凝霜
[极]润物之生法环·祷言,[極]恵みの仙輪・祈り
[极]润物之生法环·谐律,[極]恵みの仙輪・調和
[极]烈阳震波音臂·颂歌,[極]ブレイジングサン音響アーム・頌歌
[极]烈阳震波音臂·破界,[極]ブレイジングサン音響アーム・破界
轰雷刀·剑豪,極雷・剣豪
雪葬魔杖·咏咒,雪葬の魔杖・詠呪
破晓长枪·先驱,暁の穿雲槍・先駆
射影长弓·游侠,エクリプスボウ・レンジャー
裂地破军之刃·征伐,クラッシュブレード・征伐
烈阳震波音臂·协律,ブレイジングサン音響アーム・協律
润物之生法环·护佑,恵みの仙輪・祝福
永固归元盾·秩序,不帰の盾・秩序
[极]赤霄破军枪·踏岚,[極]破軍の槍・踏嵐
[极]赤霄破军枪·暴风,[極]破軍の槍・暴風
[极]开天断海巨刃·仲裁,[極]アースリィブレード・仲裁
[极]开天断海巨刃·不灭,[極]アースリィブレード・不滅
[极]亘古之心圣盾·圣誓,[極]エンシェントシールド・聖誓
[极]亘古之心圣盾·天启,[極]エンシェントシールド・天啓
[极]玄霆斩岳刀·天照,[極]幻雷斬岳刀・日輪
[极]玄霆斩岳刀·千影,[極]幻雷斬岳刀・千影
[极]龙息长弓·兽王,[極]ドラゴンブレスボウ・獣王
[极]龙息长弓·鹰眼,[極]ドラゴンブレスボウ・鷹眼
[极]极寒咒杖·寒锋,[極]極寒の杖・冷刃
[极]极寒咒杖·冰脉,[極]極寒の杖・氷脈
[极]生命礼赞圣环·福音,[極]生命礼賛の仙輪・福音
[极]生命礼赞圣环·万灵,[極]生命礼賛の仙輪・万霊
[极]熔核共鸣器·咏叹,[極]溶融コアレゾネイター・詠嘆
[极]熔核共鸣器·寂灭,[極]溶融コアレゾネイター・寂滅
玄霆斩岳刀·无我,幻雷斬岳刀・無我
极寒咒杖·魔导,極寒の杖・魔導
赤霄破军枪·狮心,破軍の槍・獅子
龙息长弓·破袭,ドラゴンブレスボウ・襲撃
开天断海巨刃·统领,アースリィブレード・統率
熔核共鸣器·绝弦,溶融コアレゾネイター・絶弦
生命礼赞圣环·神语,生命礼賛の仙輪・神託
亘古之心圣盾·审判,エンシェントシールド・審判
苍雷一文字,蒼雷一文字
雷影剑士职业史诗般的武器。<br><br>[该武器无法打造为遥远之海的断影],ストームブレイドクラスの伝説級の武器。<br><br>[この武器は蒼海の断片にクラフトすることはできない]
永冬权杖,永冬の権杖
冰魔导师职业史诗般的武器。<br><br>[该武器无法打造为遥远之海的启示],フロストメイジクラスの伝説級の武器。<br><br>[この武器は蒼海の神託にクラフトすることはできない]
破晓贯虹枪,破暁貫虹槍
青岚骑士职业史诗般的武器。<br><br>[该武器无法打造为遥远之海的祈愿],ゲイルランサークラスの伝説級の武器。<br><br>[この武器は蒼海の祈祷にクラフトすることはできない]
生命赞歌源环,生命賛歌の源環
森语者职业史诗般的武器。<br><br>[该武器无法打造为遥远之海的恩典],ヴァーダントオラクルクラスの伝説級の武器。<br><br>[この武器は蒼海の恩寵にクラフトすることはできない]
碎星葬灭之刃,砕星葬滅の刃
巨刃守护者职业史诗般的武器。<br><br>[该武器无法打造为遥远之海的守候],ヘヴィガーディアンクラスの伝説級の武器。<br><br>[この武器は蒼海の守護にクラフトすることはできない]
神射手职业史诗般的武器。<br><br>[该武器无法打造为遥远之海的远眺],ディバインアーチャークラスの伝説級の武器。<br><br>[この武器は蒼海の天望にクラフトすることはできない]
万法不破圣垒,万法不破の聖塁
神盾骑士职业史诗般的武器。<br><br>[该武器无法打造为遥远之海的誓约],シールドファイタークラスの伝説級の武器。<br><br>[この武器は蒼海の誓いにクラフトすることはできない]
怒火共鸣轴,怒火共鳴軸
灵魂乐手史诗般的武器。<br><br>[该武器无法打造为遥远之海的颂歌],ビートパフォーマークラスの伝説級の武器。<br><br>[この武器は蒼海の讃歌にクラフトすることはできない]
苍雷一文字·改,蒼雷一文字・改
永冬权杖·改,永冬の権杖・改
破晓贯虹枪·改,破暁貫虹槍・改
生命赞歌源环·改,生命賛歌の源環・改
碎星葬灭之刃·改,砕星葬滅の刃・改
射影逐星弓·改,射影逐星弓・改
万法不破圣垒·改,万法不破の聖塁・改
怒火共鸣轴·改,怒火共鳴軸・改
见习冒险者毡帽,見習い冒険者の帽子
踏上旅途的伊始获得的第一件头盔。,旅の始まりに獲得する最初のヘルム。
钢铁头盔,鋼鉄のヘルム
似乎能够获得更高的力量属性。<br><br>[该装备的进阶属性不会出现全能],より高い筋力ステータスを獲得できるようだ。<br><br>[この装備の進化ステータスには「万能」は出現しない]
深海护面,深海のフェイスガード
似乎能够获得更高的敏捷属性。<br><br>[该装备的进阶属性不会出现急速],より高い敏捷ステータスを獲得できるようだ。<br><br>[この装備の進化ステータスには「ファスト」は出現しない]
丛林游击毡帽,森のレンジャー帽
似乎能够获得更高的智力属性。<br><br>[该装备的进阶属性不会出现暴击],より高い知力ステータスを獲得できるようだ。<br><br>[この装備の進化ステータスには「会心」は出現しない]
无常头盔,無常のヘルム
无常护面,無常のフェイスガード
无常毡帽,無常の帽子
[极]致命头盔·晨光,[極]致命のヘルム・曙光
[极]致命头盔·风行,[極]致命のヘルム・疾走
[极]掌控头盔,[極]支配のヘルム
[极]掌控头盔·无畏,[極]支配のヘルム・豪胆
[极]掌控头盔·晨光,[極]支配のヘルム・曙光
[极]机遇头盔·风行,[極]好機のヘルム・疾走
[极]矫健头盔,[極]強健のヘルム
[极]机遇头盔·无畏,[極]好機のヘルム・豪胆
[极]致命护面·胧剑,[極]致命のフェイスガード・朧
[极]掌控护面·胧剑,[極]支配のフェイスガード・朧
[极]掌控毡帽,[極]支配の帽子
[极]掌控毡帽·净痕,[極]支配の帽子・浄痕
[极]矫健毡帽,[極]強健の帽子
[极]机遇毡帽·净痕,[極]好機の帽子・浄痕
[极]无常头盔,[極]無常のヘルム
[极]无常护面,[極]無常のフェイスガード
[极]无常毡帽,[極]無常の帽子
[极]矫健毡帽·战诗,[極]強健の帽子・戦詩
[极]机遇毡帽·战诗,[極]好機の帽子・戦詩
[匠]无常头盔,[匠]無常のヘルム
[匠]无常护面,[匠]無常のフェイスガード
[匠]无常毡帽,[匠]無常の帽子
无常战盔,無常の兜
[极]致命战盔·铸光,[極]致命の兜・閃光
[极]致命战盔·涌动,[極]致命の兜・激動
[极]掌控战盔,[極]支配の兜
[极]掌控战盔·悍勇,[極]支配の兜・勇猛
[极]掌控战盔·铸光,[極]支配の兜・閃光
[极]机遇战盔·涌动,[極]好機の兜・激動
[极]矫健战盔,[極]強健の兜
[极]机遇战盔·悍勇,[極]好機の兜・勇猛
无常盔帽,無常のキャップ
[极]致命盔帽·无明,[極]致命のキャップ・無明
[极]掌控盔帽·无明,[極]支配のキャップ・無明
无常兜帽,無常のフード
[极]掌控兜帽,[極]支配のフード
[极]掌控兜帽·谐律,[極]支配のフード・調和
[极]矫健兜帽,[極]強健のフード
[极]机遇兜帽·谐律,[極]好機のフード・調和
[极]无常战盔,[極]無常の兜
[极]无常盔帽,[極]無常のキャップ
[极]无常兜帽,[極]無常のフード
[极]矫健兜帽·破界,[極]強健のフード・破界
[极]机遇兜帽·破界,[極]好機のフード・破界
